"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.3867,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.3742,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.343,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.3027,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.2303,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1226,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.0809,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.179,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.3019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.4542,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.4338,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.3498,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.3796,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.5417,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.6425,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.5918,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.5063,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4486,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.4173,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.4285,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.5114,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.4937,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",101.385,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",101.2156,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",101.0127,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",101.0665,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.2831,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.4419,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.5292,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.4361,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",101.2057,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.9117,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.9116,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",101.1131,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",101.3799,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",101.6061,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",101.6045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.1795,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.1885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",99.1106,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.61409,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.56465,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.58183,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.78221,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.09242,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.2401,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.19731,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.20036,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.2064,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.345,
